27,19,4,4,27,13,16,3,10,0,13,7,19,14,8,2,14,29,3,1,19,14,9,24,10,26,15,20,15,3,9,12,1,1,27,20,0,21,18,18
3,10,2,2,17,25,21,24,23,6,4,20,0,8,28,25,6,3,0,1,14,22,26,6,10,10,0,14,23,0,23,4,18,22,12,8,15,5,6,24
0,15,10,17,22,28,7,20,10,2,13,11,28,16,26,0,27,11,5,15,22,12,3,25,1,9,28,22,27,24,20,6,19,17,26,22,19,5,9,27
0,15,10,17,22,28,27,2,6,0,24,0,19,19,22,0,27,11,5,15,22,12,3,14,1,17,12,22,26,0,8,4,7,13,12,20,0,21,18,18
25,29,4,18,14,22,16,25,9,0,13,7,19,14,8,2,14,29,3,11,19,14,24,16,5,10,6,14,9,28,7,23,16,15,19,0,24,22,14,3
10,23,13,1,14,1,16,18,11,8,24,16,0,8,15,14,16,21,15,13,0,0,28,5,19,20,22,9,26,19,24,29,0,13,4,8,13,2,2,7
8,0,0,18,14,22,12,28,20,28,22,10,0,6,15,0,22,0,4,25,20,17,1,28,10,22,23,9,26,19,24,29,0,29,20,0,3,22,14,3
3,10,1,2,17,25,21,24,9,6,4,20,0,8,28,25,6,3,0,1,15,4,27,19,14,26,15,20,15,3,9,12,1,1,27,20,0,21,18,18
12,4,13,23,25,2,3,2,10,2,9,29,5,10,23,6,3,1,1,17,25,23,5,26,21,2,3,8,12,22,3,14,23,29,16,22,18,5,25,4
20,26,1,2,17,25,21,24,9,6,4,20,12,8,28,28,17,21,15,29,14,27,28,5,19,20,0,0,23,0,23,4,18,29,16,22,18,12,15,1
10,23,13,1,14,1,16,25,9,0,13,7,11,14,8,2,14,29,3,1,19,14,24,16,5,10,6,14,26,22,4,4,11,8,22,21,29,2,2,7
16,26,4,22,26,10,7,20,29,2,13,11,28,16,26,0,27,11,5,15,22,12,3,25,1,9,28,22,27,24,20,6,19,17,26,22,19,5,9,27
25,29,4,22,26,10,7,20,29,2,13,11,28,16,26,0,27,11,5,15,22,12,3,25,1,9,28,22,27,24,25,6,19,17,26,8,13,2,2,7
16,26,1,2,17,25,21,24,9,6,4,20,0,8,28,25,6,3,0,1,14,22,26,6,10,9,28,17,19,6,0,4,22,1,23,16,24,28,6,24
25,29,2,17,14,10,26,10,18,9,10,0,6,23,5,12,9,5,2,9,15,4,27,19,14,11,26,14,20,28,5,12,24,9,0,23,22,3,0,23
24,15,4,22,26,10,7,2,29,12,13,11,28,16,26,0,22,0,4,25,20,17,1,28,21,9,28,0,23,0,23,4,18,22,12,8,15,5,6,24
20,16,8,21,15,26,4,26,26,8,15,20,16,17,25,29,16,9,25,1,9,1,5,15,8,18,12,14,26,0,8,4,7,22,4,22,19,5,9,1
16,23,29,12,8,18,26,29,22,15,14,21,0,2,3,22,9,5,2,9,9,1,5,15,8,18,12,14,26,0,8,4,7,22,12,8,15,28,6,24
10,23,13,28,14,1,16,3,11,12,24,16,0,8,8,14,16,21,15,13,22,12,3,25,1,9,28,22,27,24,25,6,19,17,26,22,19,5,9,27
24,15,4,18,14,22,12,28,20,12,22,18,16,6,27,0,22,0,4,25,20,17,1,28,21,9,28,17,19,6,0,4,22,1,27,20,0,21,18,18
18,29,19,16,25,22,8,8,21,25,17,16,12,0,2,4,27,22,8,22,14,28,4,16,5,18,12,22,26,0,8,4,7,29,20,29,2,1,10,1
0,15,10,17,22,28,7,20,10,2,13,11,28,16,26,0,27,11,5,15,22,12,3,25,1,10,0,0,23,0,23,4,18,29,0,23,22,23,0,23
13,6,0,12,13,13,12,28,20,12,22,18,16,6,27,0,22,0,4,25,20,17,1,28,21,22,23,14,26,21,19,18,11,21,13,2,4,19,11,27
16,26,1,2,17,25,21,24,9,6,4,20,0,8,28,25,6,3,0,1,15,4,27,19,14,11,26,14,20,28,5,12,24,9,0,23,22,19,11,27
20,15,4,22,26,10,7,20,29,2,13,11,28,16,26,0,27,11,5,15,22,12,3,25,1,9,28,17,19,6,0,4,22,1,23,16,24,1,10,1
10,23,13,1,14,1,16,18,11,8,24,16,0,8,8,14,16,21,15,13,0,0,28,5,21,20,22,9,26,19,24,29,0,22,25,0,25,14,24,9
13,6,0,12,13,13,16,25,9,0,13,7,11,14,8,2,14,29,3,1,15,4,27,19,14,11,26,8,20,28,5,12,24,8,25,0,25,21,18,18
25,29,2,17,14,10,26,2,18,9,10,0,6,23,5,12,11,22,23,10,11,29,9,24,10,22,2,9,26,19,24,29,0,13,4,8,13,2,2,7
25,29,2,17,14,10,26,3,18,9,10,0,6,23,5,12,9,5,2,9,9,1,5,15,8,18,12,14,26,0,8,4,7,22,4,8,13,25,5,2
13,6,0,12,13,13,16,25,9,0,13,7,11,14,8,2,14,29,3,1,19,14,24,16,5,10,6,22,26,0,8,4,7,13,4,8,3,2,2,7
25,29,4,18,14,22,12,28,20,12,22,18,16,6,27,0,22,0,4,25,20,17,1,28,21,22,23,14,26,21,19,18,11,21,13,2,4,3,0,23
18,29,19,16,25,22,8,8,21,25,17,16,12,0,2,4,27,22,8,22,14,28,4,16,5,18,12,10,26,22,4,4,11,8,22,21,29,25,5,2
24,15,2,2,17,25,21,24,23,6,4,20,0,8,28,25,6,3,0,1,14,22,26,6,10,10,0,0,23,0,23,4,18,29,20,29,2,23,6,24
18,29,19,16,25,22,8,8,21,25,17,16,12,0,2,4,27,22,8,22,14,28,7,16,11,15,11,15,17,5,9,4,20,9,0,23,22,3,0,23
27,19,4,2,17,25,21,24,23,12,4,10,0,8,28,25,6,3,0,1,14,22,26,6,10,17,12,22,20,0,8,4,7,13,4,8,3,2,2,7
3,10,2,2,17,25,21,24,23,6,4,20,0,8,28,25,6,3,0,1,14,22,26,6,21,10,0,0,23,0,23,4,18,13,4,8,13,2,2,7
24,15,2,2,17,25,21,24,23,12,4,20,0,8,28,25,6,3,0,1,14,22,26,6,10,10,22,9,26,19,24,29,0,13,4,8,13,2,2,7
13,6,0,12,13,13,16,25,9,0,13,7,11,14,8,2,14,29,3,1,19,14,24,16,5,10,6,14,9,28,7,23,16,15,19,29,2,1,10,1
3,10,2,4,27,13,16,3,10,0,13,7,19,14,8,2,14,29,3,1,19,14,9,24,10,26,15,20,15,3,9,12,1,1,27,20,0,21,18,18
16,23,29,12,8,18,26,29,22,15,14,21,0,2,3,22,11,22,23,10,11,29,9,24,10,10,0,15,16,5,9,6,20,8,12,11,16,19,9,16
27,19,4,4,27,13,16,3,10,0,13,7,19,14,8,2,14,29,3,1,19,14,9,24,10,11,26,14,20,28,5,12,24,9,0,23,22,3,0,23
3,10,2,2,17,25,21,24,23,6,4,20,0,8,28,25,6,3,0,1,14,22,26,6,10,10,0,17,19,6,0,4,22,1,23,16,3,5,9,27
