24,25,25,13,13,4,3,2,7,4,28,23,0,16,18,4,7,24,0,28,18,17,15,8,28,1,19,9,26,17,7,12,16,19,24,21,11,18,3,23
13,6,0,12,13,13,16,25,9,0,13,7,19,14,8,2,14,29,3,1,11,14,3,4,21,17,21,25,6,21,1,13,4,15,21,24,24,11,18,9
7,11,12,4,6,22,1,2,4,7,25,16,6,12,15,0,14,15,14,12,15,18,6,28,26,20,9,2,17,13,23,11,25,23,27,10,16,9,20,26
20,4,23,14,16,23,2,22,29,15,18,12,26,11,15,7,1,6,1,14,20,29,21,8,28,17,20,12,15,28,22,21,22,22,25,19,7,4,17,18
10,10,27,2,13,7,29,27,0,27,21,3,16,16,6,15,29,24,22,26,13,28,3,13,16,1,19,9,26,17,7,12,16,19,24,21,11,10,23,17
7,22,13,17,6,18,4,26,4,27,19,3,5,29,8,14,14,28,27,5,29,18,7,21,12,9,13,19,27,28,13,22,0,5,19,19,7,4,17,18
26,22,19,16,25,22,8,8,21,25,17,16,12,0,2,4,8,26,1,9,3,20,9,29,24,3,27,12,9,26,7,13,18,14,18,3,18,5,13,8
26,22,18,6,16,7,10,16,12,23,16,20,6,0,9,19,9,29,2,23,10,29,29,12,7,12,2,15,7,24,25,22,8,16,13,15,28,29,12,23
18,11,29,11,24,25,13,11,23,20,21,1,23,4,29,0,0,28,14,14,11,12,7,21,1,11,19,9,26,17,7,12,16,19,24,21,11,10,23,17
24,15,4,22,26,10,13,5,5,4,24,14,1,22,28,14,18,21,19,11,13,26,29,13,18,21,28,23,29,11,22,18,22,15,27,11,23,12,18,1
18,29,18,6,16,7,10,16,12,12,16,20,6,0,9,19,9,29,2,23,10,29,29,12,7,20,9,2,17,13,23,11,25,23,27,10,16,9,20,26
7,22,13,14,16,23,2,3,29,15,18,12,26,11,14,7,1,6,1,14,3,3,6,23,0,22,19,19,29,0,20,11,26,13,16,2,23,24,19,16
26,22,18,6,16,7,10,16,12,23,16,20,6,0,9,19,9,29,2,23,10,29,29,12,7,22,19,19,29,0,20,11,26,13,16,2,23,23,9,16
9,16,6,2,2,18,29,6,27,15,19,12,21,29,17,9,25,20,13,11,5,23,25,28,28,11,11,16,1,21,12,19,8,2,29,7,17,26,22,22
19,10,11,2,26,17,15,4,11,28,27,27,12,13,17,4,1,28,2,25,26,29,14,12,20,7,12,9,26,17,7,12,16,19,24,21,11,18,3,23
18,29,19,16,25,22,5,29,10,23,9,18,17,12,19,3,14,17,5,9,18,25,17,18,0,5,20,24,20,20,27,22,16,18,3,7,13,17,8,9
29,23,4,7,10,6,7,20,29,2,13,11,28,16,26,28,21,28,20,10,1,1,7,16,11,15,11,15,17,5,9,4,20,8,25,0,25,14,23,9
10,10,27,2,13,7,29,27,23,27,21,3,16,16,6,15,29,24,22,26,13,28,3,13,16,4,2,4,21,22,24,25,21,22,11,29,19,13,21,1
20,4,23,17,6,18,4,26,4,27,19,3,5,29,8,14,14,28,27,5,29,18,7,21,12,26,13,19,16,28,13,22,0,5,25,3,14,3,9,18
7,8,17,10,25,16,0,27,9,7,13,12,17,8,27,15,10,1,15,19,7,27,18,29,5,11,5,27,16,5,24,7,6,23,27,10,16,9,20,26
19,13,23,14,16,23,2,22,29,15,18,12,19,11,14,7,1,6,1,14,3,3,6,23,0,20,9,2,17,13,23,11,25,23,27,10,16,9,20,26
20,4,23,14,16,22,2,22,29,15,18,12,26,11,14,7,1,6,1,14,3,3,6,23,0,22,19,19,29,0,20,11,26,13,16,2,23,19,9,16
20,2,10,25,1,26,29,2,10,4,20,25,11,26,2,26,7,23,1,19,25,10,7,9,23,11,10,2,16,28,3,29,23,19,11,13,5,17,8,9
1,23,8,28,6,18,22,28,13,29,16,24,25,5,25,14,2,19,6,24,2,0,24,16,5,10,6,10,26,22,18,4,11,8,22,21,29,25,5,2
11,25,28,9,20,27,3,6,15,11,12,18,27,29,9,6,9,12,19,12,26,29,21,16,29,22,9,2,17,13,23,11,25,23,20,3,11,9,11,23
29,23,4,7,10,6,13,5,5,12,24,14,1,22,28,14,12,13,2,3,3,3,6,23,0,22,19,19,29,0,20,11,26,13,4,8,13,2,2,7
18,11,29,11,24,25,13,11,23,20,21,1,0,4,29,22,17,21,15,29,27,4,0,11,4,12,14,28,10,21,16,29,22,13,19,3,25,12,15,21
7,8,17,10,25,16,0,27,9,7,13,12,17,8,27,15,10,1,15,19,7,27,18,29,5,26,5,27,23,5,24,7,6,26,1,21,20,27,24,16
7,11,12,4,6,22,1,2,4,7,25,16,6,12,20,0,14,15,14,23,10,29,29,12,7,20,9,4,21,22,24,25,21,22,11,29,19,13,21,1
8,4,25,21,28,29,18,1,28,20,20,22,5,24,12,22,21,28,20,10,1,1,7,14,11,5,20,24,24,20,27,22,16,18,3,7,13,5,8,28
16,25,3,23,3,21,11,15,5,25,19,0,12,24,19,17,28,5,4,18,21,28,2,1,18,1,2,2,17,13,23,11,25,23,27,10,16,9,20,26
18,29,19,16,25,28,21,8,25,23,4,11,24,19,24,5,12,13,2,3,20,29,21,8,28,17,20,14,15,28,22,21,22,22,25,19,7,4,17,18
8,4,25,21,28,29,18,1,28,20,20,22,5,24,1,0,0,28,14,14,11,12,7,21,1,11,18,21,14,10,9,29,17,13,16,2,23,24,19,16
20,4,2,7,25,22,5,29,10,23,9,18,17,12,19,3,14,17,5,9,5,23,25,28,28,11,11,10,26,22,4,4,11,8,22,21,29,25,5,2
11,25,28,9,20,27,3,6,15,11,12,18,27,29,9,6,9,12,19,12,26,29,21,16,29,20,9,2,17,13,23,11,25,26,14,27,2,13,7,14
24,25,25,13,13,4,3,2,7,4,28,23,21,16,18,4,7,24,0,28,18,17,15,8,28,1,18,21,14,10,18,29,17,13,4,8,13,2,2,7
19,13,2,7,25,28,21,8,25,23,4,11,24,19,24,5,12,13,2,3,20,29,21,8,28,17,20,12,15,28,22,21,22,22,25,0,24,22,14,3
19,10,11,2,26,17,15,4,11,28,27,27,12,13,17,15,29,24,22,26,13,28,3,13,16,4,1,10,20,25,15,8,1,7,25,3,14,3,9,18
7,18,29,28,3,4,21,8,9,1,4,22,15,2,11,27,3,19,22,16,16,8,24,27,20,3,23,18,21,26,4,21,22,1,27,10,16,9,20,26
10,10,27,2,13,7,29,27,0,27,21,3,1,16,6,4,1,28,2,25,26,29,14,12,20,11,10,2,16,28,3,29,23,19,11,13,5,5,8,28
24,25,25,13,13,4,3,2,7,4,28,23,0,16,18,4,7,24,0,28,18,17,15,8,28,1,19,16,10,16,5,23,1,4,4,26,17,3,9,1
